Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
The Quirky Naari,Fashion-Tech,"Delhi, Delhi, India",A Fashion-tech Startup with Quirky Design & Tech Enabled Fashion Products,—,Active,2022,support@thequirkynaari.com,Seed,—,1,Malvica Saxena,11-50,1,Seed,"₹3,500,000","₹3,500,000",—,—,"3,963",52.36%,-86.15%,—,36
Terra-X Worldwide Private Limited,"CleanTech, E-Commerce, Fashion, Green Consumer Goods, GreenTech, Lifestyle, Manufacturing, Retail, Shoes, Sustainability","Bangalore, Karnataka, India",Fashion-tech Startup.,—,Active,2020,connect@terra-x.in,Seed,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Manufacturing, Sustainability",1,Ravi Shekhar,11-50,2,Seed,"$94,000","$94,000",—,—,—,—,—,—,—
DcodeAI,Artificial Intelligence (AI),"Noida, Uttar Pradesh, India",DcodeAI is an ed-tech startup offering no-code tools to teach students to utilise artificial intelligence (AI).,—,Active,2020,—,Seed,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Ashish Aggarwal, Kartik Sharma",11-50,1,Seed,"$500,000","$500,000",—,—,186,-16.96%,578.54%,—,"4,648"
Inertialogic AI Private Limited,"Agriculture, AgTech, Artificial Intelligence (AI), Geospatial, Machine Learning, Software, Supply Chain Management","Alwar, Rajasthan, India","AI-based Deep Tech Geospatial SaaS Startup, focused on implementing Agriculture 4.0 at the Grassroot level in India.",—,Active,2022,dhenenjay@inertialogicai.com,Seed,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Navigation and Mapping, Science and Engineering, Software, Transportation",1,Dhenenjay Yadav,1-10,1,Seed,"₹1,200,000","₹1,200,000",—,—,—,—,—,—,—
Nima Goos Goos,Tea,"Leh, Jammu and Kashmir, India","Nima Goos Goos is a startup that sells Tisanes, a type of herbal tea that comes in a variety of flavours.",—,Active,2021,—,Seed,Food and Beverage,—,—,1-10,2,Seed,—,"₹10,000,000",—,—,—,—,—,—,—
SIGMAVERSE,"Advertising, Digital Marketing, Marketing","Hyderabad, Andhra Pradesh, India","Advertisement, Mar Tech, and Marketing automation",—,Active,2022,hello@sigmaverse.in,Seed,"Advertising, Sales and Marketing",3,"Dheeraj Reddy Pullarevu, Radhakrishna Karumanchi, Sai Dheeraj Pulla",11-50,1,Seed,"₹5,000,000","₹5,000,000",—,—,—,—,—,—,—
AgriVijay,"AgTech, Renewable Energy, Social Impact","Pune, Maharashtra, India",AgriVijay is India's first curated Marketplace of Renewable Energy products Empowering Farmers & Rural households to fight Climate Change.,Less than $1M,Active,2020,support@agrivijay.com,Seed,"Agriculture and Farming, Energy, Other, Social Impact, Sustainability",—,—,11-50,4,Seed,"$85,984","$85,984",Growing,—,—,—,—,—,—
lndr,"Marketing, Software","Kochi, Kerala, India",AI-Powered Landing Page Creation Tool,—,Active,2022,JamesPerez@lndr.tech,Seed,"Sales and Marketing, Software",1,James Perez,1-10,1,Active,"$400,000","$400,000",—,—,93,-59.21%,—,11,—
KiarX,"Mining, Mining Technology","Ahmedabad, Gujarat, India",Mine management tech start-up focusing on the digitalization of the mining industry,—,Active,2020,—,Seed,Natural Resources,1,—,1-10,1,Active,"$150,000","$150,000",—,—,—,—,—,—,—
C AND G CONSUMER PRODUCTS PRIVATE LIMITED,"Food and Beverage, Food Processing, Manufacturing","Kanpur, Uttar Pradesh, India",Consumer products manufacturing,—,Active,2021,info@cngcproducts.com,Seed,"Food and Beverage, Manufacturing",1,Mridul Agnihotri,1-10,1,Active,"₹500,000","₹500,000",—,—,—,—,—,—,—
Descatuk,"Fashion, Textiles","Rishikesh, Uttarakhand, India","Harnessing traditional skills of rural women for sustainable use of natural fibers, dyes",—,Active,2020,devtextileservices@gmail.com,Seed,"Clothing and Apparel, Design, Manufacturing",1,K D Sharma,1-10,1,Active,"₹1,500,000","₹1,500,000",—,—,—,—,—,—,—
Bachat,E-Commerce,"Jaipur, Rajasthan, India",Cashback and Coupon Startup,Less than $1M,Active,2020,contact@bachat.app,Early Stage Venture,Commerce and Shopping,1,Raghunath Meena,11-50,1,Active,"$145,000","$145,000",—,—,28,—,—,80,—
Orbiter,Apps,"Jaipur, Rajasthan, India","A platform connecting startups, founders, mentors, investors, and other stakeholders",—,Active,2021,support@socilious.com,Seed,"Apps, Software",1,Ashok Kumar Meena,11-50,1,Active,"₹300,000","₹300,000",—,—,—,—,—,—,—
Modenrgy,"Artificial Intelligence (AI), EdTech, Environmental Engineering, Machine Learning, Skill Assessment","Chennai, Tamil Nadu, India",Focused on sustainability education and skill development,—,Active,2021,contact@modenrgy.co,Seed,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software, Sustainability",1,Udyan Moidu,51-100,1,Active,"$2,000,000","$2,000,000",—,—,—,—,—,—,—
Yummy Plate,"B2B, Restaurants","Bengaluru, Karnataka, India",Provides a subscription-based meal service for schools,—,Active,2022,—,Seed,"Food and Beverage, Other",1,—,—,1,Active,"$2,000,000","$2,000,000",—,—,—,—,—,—,—
TREAD,"Fitness, Health Care, Wellness","Bengaluru, Karnataka, India",Online fitness startup,$1M to $10M,Active,2020,—,M&A,"Health Care, Sports",1,Dinesh Godara,11-50,1,Active,"$1,100,000","$1,100,000",—,—,—,—,—,—,—
ATESH LABS - Lighting Lanterns Media Works,"E-Commerce, EdTech, Education, Skill Assessment, Software","Kanniyakumari, Tamil Nadu, India",Focuses on human-centric methods in developing soft skills,—,Active,2020,ateshlabsoa@gmail.com,Seed,"Commerce and Shopping, Education, Software",1,RAHUL Rajusree,1-10,1,Active,"₹120,000","₹120,000",—,—,—,—,—,—,—
ReadOn,"Digital Media, Finance","Bangalore, Karnataka, India","Covers business, finance, startups, and cryptocurrencies",—,Active,2021,team@readon.in,Seed,"Financial Services, Media and Entertainment",2,"Shantanu Jain, Yavantika Malani",1-10,1,Active,"$150,000","$150,000",—,—,—,—,—,—,—
Clap Techno Games Pvt. Ltd.,"Casual Games, Gaming, Online Games","Haryana, Haryana, India",Games development company,—,Active,2022,—,Seed,Gaming,2,"DEEPAK DEEPAK, Sudeep Mangla",1-10,1,Active,"₹4,300,000","₹4,300,000",—,—,—,—,—,—,—
The DriveSales™,"EdTech, Education, Human Resources, Internet, Marketplace, Sales","New Delhi, Delhi, India",AI-enabled tech platform connecting recruiters and job seekers for sales hiring,—,Active,2022,ankit@thedrivesales.com,Seed,"Administrative Services, Commerce and Shopping, Education, Internet Services, Sales and Marketing, Software",1,Ankit Raj,11-50,2,Active,"$130,000","$130,000",—,—,242,—,—,460,—
ZEGPE,"Billing, E-Commerce, E-Commerce Platforms, FinTech, Payments, Retail Technology","Bangalore, Karnataka, India",Provides a commerce and payments platform to offline enterprise businesses,—,Active,2022,support@zegpe.in,Seed,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Payments, Software",1,Veena Shah,11-50,1,Active,"$450,000","$450,000",—,—,—,—,—,—,—
Whiz League,E-Learning,"Agra, Uttar Pradesh, India",Edtech startup,$1M to $10M,Active,2020,—,Seed,"Education, Software",2,"Natasha Jain, Sonia Agarwal",51-100,1,Active,"$300,000","$300,000",—,—,50,-87.68%,—,0,—
Xponents,Management Consulting,"Gurgaon, Haryana, India",Xponents brings family businesses and startups together to solve problems faced by startups.,—,Active,2021,—,Seed,Professional Services,4,"Deepak Nagpal, Ratish Pandey, Sarth Jain, Saumya Sarth Jain",1-10,1,Seed,"$1,560,000","$1,560,000",—,—,—,—,—,—,—
iFlare,"Financial Services, FinTech, Robotics, SaaS","Pune, Maharashtra, India","iFlare is a financial service company that offers paperless onboarding, employee benefits, and employee management.",—,Active,2020,contact@iflare.co,—,"Financial Services, Hardware, Science and Engineering, Software",1,Manish Mallik,51-100,1,Early Stage Venture,"$3,500,000","$3,500,000",—,—,—,—,—,—,—
Startups Box,Information Services,"Kolkata, West Bengal, India",StartupsBox covers Early Age startups and writes blogs on Business and Startups.,—,Active,2022,mskeng1112@gmail.com,—,Information Technology,1,Madhusudan Kumar,1-10,2,Seed,"₹800,000","₹800,000",—,—,—,—,—,—,—
Ladakh Brew,—,"Leh, Jammu and Kashmir, India",Ladakh Brew is a startup that focuses on producing and selling Chaang (local beer).,—,Active,2021,—,—,—,1,—,—,—,—,"₹10,000,000","₹10,000,000",—,—,—,—,—,—,—
CollegeShala,"Communities, E-Learning, EdTech, Education, Higher Education, Tutoring","Kolkata, West Bengal, India",CollegeShala is a community-driven ed-tech startup that caters to students of academic degree courses.,Less than $1M,Closed,2020,support@collegeshala.com,—,"Community and Lifestyle, Education, Software",1,MD Fazal Mustafa,11-50,1,M&A,"$250,000","$250,000",—,—,93,—,—,—,13
Cookr,"Food and Beverage, Information Technology, Marketplace","Chennai, Tamil Nadu, India",Cookr is a digital startup company that focuses on creating a food community space where users can buy and sell food items online.,$1M to $10M,Active,2022,praba@cookr.in,—,"Commerce and Shopping, Food and Beverage, Information Technology",3,"Nirmalkumar Muthu, Praba Santanakrishnan, Saravanakumar(SK) Kandasamy",51-100,1,Seed,"$1,000,000","$1,000,000",—,—,"15,669",-71.28%,501.45%,—,415
ECOMJET,"Business Development, Marketing","Belgaum, Karnataka, India",ECOMJET aims to help small businesses and startups launch themselves in the market successfully.,—,Active,2020,ecomjetco@gmail.com,—,"Professional Services, Sales and Marketing",2,"Anish Chowdhury, Prantik Kumar Seal",11-50,1,Seed,"$15,000","$15,000",—,—,—,—,—,—,—
Krishika,"Agriculture, AgTech, E-Commerce","Noida, Uttar Pradesh, India",Krishika is an Agritech startup that offers crop lifecycle advisory and high-quality farm inputs through its hyperlocal network.,—,Active,2020,bhagyashri@sacred-river-management.com,—,"Agriculture and Farming, Commerce and Shopping",1,Anshumali Dwivedi,51-100,2,Seed,"CA$400,000","CA$400,000",—,—,—,—,—,—,—
Adonia Hospitality,"Food and Beverage, Hospitality","Mumbai, Maharashtra, India",Adonia Hospitality is an early-stage food tech startup.,—,Active,2021,—,—,"Food and Beverage, Travel and Tourism",1,Rupesh Kumar,—,1,Seed,"$1,000,000","$1,000,000",—,—,—,—,—,—,—
Tidy Up,"Consumer Goods, E-Commerce, Gift","Delhi, Delhi, India","Tidy Up is an e-commerce direct-to-consumer startup homecare, organizers, and accessories.",—,Active,2021,hellotidyup@gmail.com,—,"Commerce and Shopping, Consumer Goods",—,—,11-50,1,Seed,"₹200,000","₹200,000",—,—,444,-52.16%,—,—,0
Anubal Fusion,"Energy, Environmental Engineering, Nuclear","Gurgaon, Haryana, India",Anubal Fusion is a nuclear fusion startup.,—,Active,2024,—,Seed,"Energy, Science and Engineering, Sustainability",—,—,—,1,Seed,—,—,—,—,93,-4.12%,—,—,0
AgroSplash,"Agriculture, AgTech, CRM, Web Development","Chandigarh, Chandigarh, India","AgriTech, SaaS, Web Solutions & CRM",—,Active,2020,hello@agrosplash.com,—,"Agriculture and Farming, Information Technology",2,"Manish Chauhan, Pradeep Chauhan",11-50,1,—,"₹500,000","₹500,000",—,—,—,—,—,—,—
Workskills,EdTech,"Bangalore, Karnataka, India","We are an early-stage startup built by a team of developers, designers, and PMs from top companies.",—,Active,2021,support@workskills.co.in,—,"Education, Software",—,—,1-10,1,Seed,"$100,000","$100,000",—,—,—,—,—,—,—
iSara Technologies Pvt. Ltd.,"EdTech, Information Technology, Software","Dahod, Gujarat, India",A Government of India Recognized Next Generation Technology Startup.,—,Closed,2020,hello@techisara.com,—,"Education, Information Technology, Software",1,Dr.Rahul Tagarya,11-50,1,Seed,"₹1,000,000","₹1,000,000",—,—,—,—,—,—,—
Clearcals Private Limited,"Health Care, mHealth, Nutrition, Personal Health, Wellness","Hyderabad, Andhra Pradesh, India",Clearcals is a digital health and nutrition startup founded in April 2020. We want to make nutrition care accessible to everyone.,Less than $1M,Active,2020,admin@clearcals.com,—,"Food and Beverage, Health Care, Mobile",2,"Krishna Athmakuri, Susheel Athmakuri",1-10,1,Seed,"$70,000","$70,000",—,—,"11,761",-84.27%,1333.33%,—,43
Anifoards Innovate,Business Development,"Noida, Uttar Pradesh, India","Anifoards Innovate drives cutting-edge solutions, transforming ideas into impactful realities for a sustainable future.",—,Active,2023,anifoardsinnovate@gmail.com,—,Professional Services,2,"Himanshu Singh, Veebhav Kr",11-50,1,Seed,"$50,000","$50,000",—,—,—,—,—,—,—
HireXL,Internet,"Gurgaon, Haryana, India",HireXl is a Job board and Application Tracking System,—,Active,2020,hello@hirexl.in,—,Internet Services,1,Swati Sinha,1-10,1,Seed,"$70,000","$70,000",—,—,—,—,—,—,—
Startup Offices,Coworking,"Gurgaon, Haryana, India",Coworking Space in Gurgaon,—,Active,2020,sales@startupoffices.in,Seed,Real Estate,3,"Dr. Ramesh Byrapaneni, Monika Misra, Sateesh Andra",51-100,3,Seed,"$552,400","$552,400",—,—,"5,724",—,—,—,640
T-3 AgroTech,"Agriculture, AgTech, Farmers Market, Farming, Food Processing","Pune, Maharashtra, India",T-3 AgroTech is an AgriTech startup that offers technology to improve last mile supply chain and crop production efficiency in farming.,—,Active,2024,t3agro@gmail.com,Seed,"Agriculture and Farming, Food and Beverage",1,Narendra Dhele,1-10,1,Seed,"$10,000","$10,000",—,—,—,—,—,—,—
WINLegally,"Business Development, Consulting, Education, Intellectual Property, Legal, Marketing, Professional Services, Service Industry, Web Design","Ghaziabad, Uttar Pradesh, India",Legal-Tech and Business Eco-System,Less than $1M,Active,2020,Solutions@winlegally.net,Seed,"Design, Education, Other, Professional Services, Sales and Marketing",1,Simran Kaur,11-50,1,Seed,"₹1,500,000","₹1,500,000",—,—,—,—,—,—,—
Legalitis,"Accounting, Consulting, Legal Tech","Patna City, Bihar, India","Accounting, Legal Tech, compliances, Audit, Company Incorporation, Startup Support",—,Active,2023,info@legalitis.in,Seed,"Financial Services, Professional Services",2,"Gaurav Kumar, Sudarshan Kumar",11-50,1,Seed,"$50,000","$50,000",—,—,—,—,—,—,—
ScholARLab,"E-Learning, EdTech, Education, Gaming","Pune, Maharashtra, India",We are a virtual lab provider,—,Active,2021,hello@escavel.in,Seed,"Education, Gaming, Software",2,"Balaji Venkatraman, Kartik Shah",1-10,1,Seed,"$250,000","$250,000",—,—,177,-68.56%,—,—,0
Weeclu,"Analytics, Software","Hyderabad, Andhra Pradesh, India",Weeclu is a Cloud-based data aggregation and analytic startup focused on healthcare delivery to the last mile.,—,Active,2021,contact@weeclu.com,Seed,"Data and Analytics, Software",3,"Gopal Panigrahy, Krishnaveni Panda, Santosh Kumar Panda",11-50,2,Seed,"$565,900","$565,900",—,—,—,—,—,—,—
SDFC GROUP,"Information Technology, Software","Vadodara, Gujarat, India","SDFC Group is an Indian holding company innovating in logistics, fintech, IT, and more with projects like ConnecBiz",—,Active,2024,leo@sdfcgroup.com,Seed,"Information Technology, Software",1,Leo John,1-10,1,Seed,"$2,000","$2,000",—,—,—,—,—,—,—
Versicles Technologies,Retail Technology,"Thiruvananthapuram, Kerala, India",Versicles Technologies is a customer experience automation platform for retailers.,Less than $1M,Active,2022,kiran@versicles.com,Seed,"Commerce and Shopping, Hardware, Software",3,"Aneesh Suhail, Kiran Karunakaran, Manoj Dethan",1-10,2,Seed,"$150,000","$150,000",—,—,—,—,—,—,—
The Growth Gazette,"Media and Entertainment, News, Publishing","Bangalore, Karnataka, India",India’s emerging startup media & storytelling publication.,—,Active,2022,info@thegrowthgazette.com,Seed,"Content and Publishing, Media and Entertainment",2,"Ariz Siddique, Mahima Chatterjee",1-10,1,Seed,"$100,000","$100,000",—,—,—,—,—,—,—
Karat Farms,Home and Garden,"Bengaluru, Karnataka, India",Karat Farms is a smart kitchen startup with a focus on growing vegetables at home.,$1M to $10M,Active,2020,—,Seed,Real Estate,3,"Quraishy Yousuf, Rahul Chandra, Siva Sethupathy",—,2,Seed,"$67,200","$67,200",—,—,277,-32.27%,—,—,"1,396"
talam.shop,"E-Commerce, Marketplace, Online Portals","Chennai, Tamil Nadu, India","talam.shop: Unveiling the rich heritage of Tamil Nadu through curated, sustainable products from local artisans and manufacturers.",—,Active,2021,care@talam.shop,Seed,"Commerce and Shopping, Internet Services",1,Vijayakumar Velmrugan,11-50,1,Seed,"$60,000","$60,000",—,—,—,—,—,—,—
Accentec,"Consulting, Developer Tools, Internet of Things, Mobile Apps, Service Industry, Software, Web Design, Web Development","Mumbai, Maharashtra, India",Innovative solutions for a connected world,—,Active,2023,—,Seed,"Apps, Design, Internet Services, Mobile, Other, Professional Services, Software",—,—,11-50,1,Seed,"$250,000","$250,000",—,—,—,—,—,—,—
Wyzard,"Information Technology, SaaS, Software","Gurgaon, Haryana, India",SAAS Lifecycle management Ecosystem,—,Active,2024,—,—,"Information Technology, Software",—,—,11-50,—,—,—,—,—,—,107,-95.58%,17.05%,—,968
BPSY Vetcare,"Consulting, Health Care, Health Diagnostics, Pet, Service Industry, Software, Veterinary","Patna City, Bihar, India",Veterinary Health Technology AgroVET Startup,—,Active,2019,careerbpsy@gmail.com,—,"Community and Lifestyle, Health Care, Other, Professional Services, Software",—,—,101-250,3,—,"$116,061",—,—,—,—,—,—,,
Growth Sense,—,"Akola, Maharashtra, India",Growth Sense address real challenges of Startup ecosystem with first hand entrepreneurship experience.,—,Active,2021,contact@growth-sense.com,Seed,—,2,"Kinjal Kapadia, Sanjay Sarda",—,—,—,—,—,—,—,93,-52.31%,-86.11%,—,0
HSKINNOVATION,"Cloud Management, Data Management, Digital Marketing, Information Technology","Bangalore, Karnataka, India","Hsk Innovation Private Limited provides IT services including data management, cloud modernization, and digital marketing.",—,Active,2020,vardhanjain1986@gmail.com,Private Equity,"Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",2,"Harsha Vardhan Jan, Sailaja Gurugubelli",11-50,1,Private Equity,"$10,000","$10,000",—,—,"4,886,161",-6.37%,40.93%,—,637
DoubtQ,Education,"Surat, Gujarat, India",DoubtQ provides an innovative online education platform to assist international students.,—,Active,2023,—,Seed,—,—,—,11-50,1,Seed,"$5,000","$5,000",—,—,—,—,—,—,—
Holo Foods,Food and Beverage,"Hyderabad, Andhra Pradesh, India",Semi Automated Micro Ice Cream & Milkshake Stores,—,Active,2020,pthatini@gmail.com,Seed,Food and Beverage,2,"Prudhvi Thatini, Ramesh Kommuru",1-10,1,Seed,"$60,000","$60,000",—,—,—,—,—,—,—
Serri,"Artificial Intelligence (AI), B2B, Communities, Marketing, SaaS","Haldwani, Uttarakhand, India",The World's first Community Marketing SaaS,$1M to $10M,Active,2022,founder@serri.club,Seed,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",2,"Mohd Wasil, Saad Jamal",11-50,1,Seed,—,—,—,—,—,—,—,—,
NextLeap,EdTech,"Bangalore, Karnataka, India",An upskilling platform for you to accelerate your career in tech,—,Active,2021,contact@nextleap.app,Seed,"Education, Software",—,—,1-10,1,Seed,—,—,—,—,"387,668",61.59%,24.50%,—,747
Lenity,Health Care,"Bangalore, Karnataka, India","Lenity Health is a startup enhancing senior healthcare, it offers AI platform to proactively engage seniors and improve outcomes.",—,Active,2023,collaboration@lenity.health,Seed,Health Care,—,—,11-50,1,Seed,—,—,—,—,444,-18.38%,250.85%,—,207
HairForever,"Cosmetics, Fashion, Manufacturing, Women's","New Delhi, Delhi, India",HairForever is a hair extension manufacturing startup.,—,Active,2021,—,Seed,"Clothing and Apparel, Community and Lifestyle, Consumer Goods, Design, Manufacturing",1,Ashish Tiwari,11-50,1,Seed,"$150,000","$150,000",—,—,—,—,—,—,—
KodNest,Education,"Bangalore, Karnataka, India",KodNest is an edutech platform for skill development and job aspirants.,—,Active,2023,hello@kodnest.com,Seed,Education,2,"Akash Pandey, Prabhakaran Ganeshan",1-10,—,—,—,—,—,—,"133,625",-21.38%,-8.31%,—,"1,115"
Seloriz,"CAD, Communication Hardware, Electronics, Green Consumer Goods, Industrial Design, Lighting, Mechanical Design, Product Design, Public Safety, Public Transportation","Hubli, Karnataka, India","Seloriz is an Engineering, R&D, Design, Innovation and Digital Services company working on diverse areas using principles of Design Thinking",—,Active,2020,contact@seloriz.com,Seed,"Consumer Electronics, Consumer Goods, Design, Government and Military, Hardware, Software, Sustainability, Transportation",3,"Muttanna Kasavannavar, Sachin Athani, Sachin Mohite",1-10,—,—,—,—,—,—,—,—,,,
Get Paid Globe,—,"Noida, Uttar Pradesh, India",GetPaidGlobe is poised to revolutionize the global payments landscape for startups and SMBs by offering cross-border transactions.,—,Active,2024,hello@getpaidglobe.live,Seed,—,1,Ishaan Patra,11-50,1,Seed,"$25,000","$25,000",—,—,—,—,—,—,—
Indika AI,"Artificial Intelligence (AI), Big Data, Computer Vision, Crowdfunding, Data Collection and Labeling, Data Integration, Machine Learning, Natural Language Processing, Outsourcing","Mumbai, Maharashtra, India","Indika AI provides digitization, programmatic data labeling, and LLM fine tuning solutions.",—,Active,2021,hello@indikaai.com,Seed,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Information Technology, Professional Services, Science and Engineering, Software",2,"CA Hardik Dave, Dr. Anshul Pandey",101-250,1,Seed,—,—,—,—,"4,410",-48.35%,-51.64%,—,177
Jass Brands,"E-Commerce, Financial Services, Venture Capital","Bihar, Bihar, India",Jass Brands partners with brands and scales them to 100X.,—,Active,2022,support@suryanshcontech.com,Seed,"Commerce and Shopping, Financial Services, Lending and Investments",1,Suryansh Singh,11-50,1,Seed,"$20,000","$20,000",—,—,—,—,—,—,—
StrideOne,"Finance, Financial Services, FinTech, Small and Medium Businesses","New Delhi, Delhi, India",StrideOne provides customized financial services to startups and SMEs.,$1M to $10M,Active,2021,care@strideone.in,Seed,"Financial Services, Other",—,—,11-50,2,Seed,"₹2,500,000,000","₹2,500,000,000",Growing,High,621,-87.93%,168.75%,—,86
Fourchain Technologies,"Blockchain, Information Technology, Software","Madurai, Tamil Nadu, India","Blockchain, AI, Mobile App Development",—,Active,2024,business@fourchain.com,—,"Blockchain and Cryptocurrency, Information Technology, Other, Software",1,Santhosh kumar R,11-50,—,—,—,—,—,—,107,9.41%,-90.51%,—,7
AlphaFirms,Information Technology,"Bangalore, Karnataka, India",AlphaFirms is a reputable B2B research portal about Indian startups,—,Active,2020,info@alphafirms.in,—,Information Technology,1,Girish Nair,11-50,1,Seed,"$25,000","$25,000",—,—,—,—,—,—,—
MultiQoS,"Apps, E-Commerce, E-Learning, Education, Information Technology, Mobile Apps, Software, Web Design, Web Development","Ahmedabad, Gujarat, India",Software development company offering mobile and web app development solutions,Less than $1M,Active,2020,biz@multiqos.com,—,"Apps, Commerce and Shopping, Design, Education, Information Technology, Mobile, Software",1,Prashant Pujara,101-250,—,—,—,—,—,—,"3,783",-55.26%,-63.79%,—,729
Shuru,"Apps, Consulting, Consumer Applications, DevOps, Enterprise Applications, Management Consulting, Mobile Apps, Software Engineering, Web Development","Gurgaon, Haryana, India",On-demand product and technology leadership for startups & enterprises,—,Active,2021,hi@shurutech.com,—,"Apps, Information Technology, Mobile, Professional Services, Science and Engineering, Software",1,Kshitij Bhardwaj,11-50,—,—,—,—,—,—,"1,619",-53.60%,-89.60%,—,34
Goodfellows,"Elder Care, Home Health Care, Personal Health","Mumbai, Maharashtra, India",Connecting college students with elderly for companionship,—,Active,2022,—,—,Health Care,—,—,11-50,2,Seed,—,—,—,—,"32,394",416.82%,52.27%,—,201
ZentrumHub Solutions Pvt Ltd,"Business Travel, Hotel, Information Technology, Software, Travel","Pune, Maharashtra, India",AI-Enabled Hotel Booking Platform & Supplier Connect,—,Active,2021,communications@zentrumhub.com,—,"Information Technology, Software, Travel and Tourism",3,"Abhinav Sinha, Bhushan Tamhankar, Mrigendra Mittal",11-50,—,—,—,—,—,—,"4,370",9.99%,205.33%,—,458
Yorozuya Gaming,"Blockchain, eSports, Gaming, Media and Entertainment, Metaverse, Video Games","Mumbai, Maharashtra, India","Group of Gaming & Metaverse companies creating solutions, events, esports, and NFTs",—,Active,2020,anup.dustakar@yorozuyagaming.com,—,"Blockchain and Cryptocurrency, Gaming, Media and Entertainment, Other, Software, Sports",1,Anup Dustakar,1-10,1,Seed,"$1,000","$1,000",—,—,—,—,—,—,—
FinCrif,FinTech,"Noida, Uttar Pradesh, India",Digital loan marketplace,$1M to $10M,Active,2022,contact@fincrif.com,—,Financial Services,—,—,251-500,—,—,—,—,—,—,"3,175",95.14%,732.43%,—,308
GUDSHO,"Marketing, Video","Guindy, Tamil Nadu, India",Video marketing platform for brands to engage audiences,—,Active,2022,support@gudsho.com,—,"Media and Entertainment, Sales and Marketing, Video",1,Sriram Manoharan,501-1000,—,—,—,—,—,—,"24,521",-33.07%,-75.95%,—,95
Nebula iXDR,"Cloud Security, Cyber Security, Network Security","Bangalore, Karnataka, India","AI-driven, cloud-native, SaaS platform for automated threat detection",—,Active,2024,info@nebulaixdr.com,—,"Information Technology, Privacy and Security",2,"Arun George, Rinoob Babu",1-10,1,Seed,—,—,—,—,416,—,—,—,49
Yarnit,"Artificial Intelligence (AI), Content, Digital Media, SaaS, Software","Bangalore, Karnataka, India",AI-based SaaS product for digital storytelling,—,Active,2021,info@yarnit.app,—,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",2,"Akash Jain, Jyotirmoy Dutta",1-10,—,—,—,—,Growing,—,"1,089",-44.13%,-60.30%,—,430
incentiv,—,"Bengaluru, Karnataka, India",Investment platform for startup equity and ESOP management,—,Active,2022,—,—,—,1,—,1-10,1,Seed,—,—,—,—,146,-87.91%,-44.63%,—,"1,463"
Dailygurus,"Agriculture, Consumer Goods, Farming","Chennai, Tamil Nadu, India","Agritech platform for fresh fruits, vegetables, and dairy products",—,Active,2020,support@dailygurus.com,—,"Agriculture and Farming, Consumer Goods",—,—,11-50,1,Seed,—,—,—,—,—,—,—,—,—
BlueGreen Ventures,Venture Capital,"Mumbai, Maharashtra, India","VC firm investing in climate, fintech, and post-COVID B2C startups",—,Active,2024,—,—,"Financial Services, Lending and Investments",—,—,1-10,—,—,—,—,—,—,537,21.77%,-3.57%,—,27
Caard Club,—,"Hyderabad, Andhra Pradesh, India",Community-driven service delivery startup,—,Closed,2022,info@caard.club,—,—,2,"Akhilesh Sagar, Venkat Sai Reddy",1-10,1,—,"$10,000","$10,000",—,—,—,—,—,—,—
Tagda Raho,"Fitness, Wellness","Bangalore, Karnataka, India",Fitness startup,—,Active,2020,—,—,"Health Care, Sports",—,—,1-10,1,Seed,—,—,Growing,High,"121,782",710.42%,-54.11%,—,463
Sputnik Brain,"Health Care, Neuroscience","Bangalore, Karnataka, India",Building brain-computer interface for stress alleviation,—,Active,2023,—,—,"Biotechnology, Health Care, Science and Engineering",1,Shankar Sri,1-10,2,—,—,—,—,—,—,—,—,—,—
Cloud Kitchens,Food and Beverage,"Delhi, Delhi, India",Cloud kitchen concept in the food industry,—,Active,2020,info@therollingplate.com,—,Food and Beverage,—,—,51-100,—,—,—,—,—,—,—,—,—,—,—
Aadhunik AI,"Artificial Intelligence (AI), SaaS","Mumbai, Maharashtra, India",Aggregates AI tools and insights for businesses worldwide,—,Active,2024,sreedev@aadhunik.ai,—,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Sreedev Sharma,1-10,—,—,—,—,—,—,"4,297",694.27%,—,—,0
