Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
"Bandi, Bandi and Thakur Technologies",Aviation,Sikkim,$100M to $500M,Active,2021,Series A,Transportation,2,"Chaitaly Tella, Abeer Deshpande",1-10,2,Growing,$10M to $50M,Growing,High,1156097,1962.675984095425,9597.792921074395,0,1614
Pant Group Solutions,Healthcare,Jharkhand,Less than $1M,Active,2020,Series C,Healthcare,4,"Rushil Samra, Rajeshri Vala, Harrison Anand, Jagat Sandal",1-10,3,Growing,$100M to $500M,High,Low,776376,778.3461216518986,8780.135833758368,1,514
Wali-Prabhu Innovations,Media and Entertainment,Manipur,$10M to $50M,Active,2024,Series A,Media,1,Janya Subramanian,101-250,1,Seed,$10M to $50M,High,Low,1728950,1278.489500915088,6741.083406628797,7,1822
Barad-Sabharwal Technologies,Retail,Sikkim,$10M to $50M,Active,2019,Seed,Commerce,1,Saksham Balasubramanian,101-250,5,Seed,$10M to $50M,Growing,High,511358,1150.7295550615513,3947.5510175252734,8,1461
Sahni-Mammen Technologies,Banking,Goa,$1B to $10B,Active,2020,IPO,Financial Services,1,Ubika Wason,251-500,4,Growing,$50M to $100M,High,High,1885015,594.6585098060497,8193.442964738832,6,1510
"Pal, Sankaran and Atwal Technologies",Defence Manufacturing,Meghalaya,$10B+,Active,2021,Seed,Defence,1,Benjamin Gole,501-1000,4,M&A,$50M to $100M,Medium,Medium,1842721,-71.95656459583385,3090.5349838154957,6,1934
Sarraf PLC Pvt Ltd,Engineering and Capital Goods,Uttar Pradesh,Less than $1M,Closed,2022,Seed,Engineering,2,"Gautami Buch, Krisha Saini",1-10,0,Early Stage Venture,$1M to $5M,Medium,Medium,46493,-62.135690945505466,7170.877085980051,0,103
"Chahal, Deep and Amble Innovations",Real Estate,West Bengal,Less than $1M,Closed,2018,Seed,Real Estate,2,"Onkar Gera, Priya Kunda",11-50,0,Seed,$0 to $1M,High,Low,258,-95.93746857405212,959.5240481216665,1,727
"Chaudhuri, Ravel and Mody Technologies",E-Commerce,Maharashtra,$1M to $10M,Active,2024,Series C,Commerce,1,Lucky Goyal,51-100,6,Growing,$5M to $10M,Medium,High,508822,1503.24713237437,8380.627338488983,2,2336
Suri PLC Technologies,Roads,Gujarat,Less than $1M,Closed,2020,Seed,Infrastructure,2,"Ekani Yohannan, Omisha Rattan",11-50,0,Seed,$0 to $1M,High,Low,3213,-50.37805621075512,3066.762080047279,2,1828
Deol-Dhingra Solutions,Real Estate,Tamil Nadu,$100M to $500M,Active,2019,Seed,Real Estate,1,Ishwar Rout,251-500,4,Early Stage Venture,$10M to $50M,Medium,Medium,711215,1025.3057743432382,8428.461595827395,4,1464
"Mahajan, Tandon and Sehgal Pvt Ltd",Retail,Jharkhand,$10B+,Active,2018,IPO,Commerce,4,"Tanveer Sami, Ekavir Jain, Ganga Purohit, Radhika Kar",1001-5000,0,Early Stage Venture,$5M to $10M,Growing,High,1599749,1777.0537545586371,7331.347638313725,5,171
Brar LLC Innovations,Medical Devices,Odisha,Less than $1M,Active,2022,Series C,Healthcare,4,"Garima Saran, Devika Nayak, Kamya Shankar, Aditya Grewal",51-100,4,M&A,$0 to $1M,High,Medium,1877331,192.40142365696408,6986.483717866903,1,707
"Krish, Ramanathan and Kannan Solutions",Medical Devices,Tripura,$1M to $10M,Closed,2019,Seed,Healthcare,3,"Rachit Uppal, Imaran Sane, Kevin Behl",1-10,0,Seed,$0 to $1M,Growing,Low,3962,-72.54939199769701,2406.528645030766,5,387
Lalla-Gill Innovations,IT & BPM,Assam,Less than $1M,Active,2017,Series B,Information Technology,1,Amara Ramaswamy,1001-5000,7,Seed,$1M to $5M,Growing,Medium,1134076,7.500621962262372,9750.66859935883,4,234
"Mistry, Bhatnagar and Wason Innovations",Steel,Goa,$100M to $500M,Active,2022,Series B,Manufacturing,4,"Rachit Ram, Adya Sekhon, Qabil Verma, Sathvik Kannan",1-10,4,Seed,$1M to $5M,High,Low,1134006,549.6725694034754,5007.328439459107,9,477
Kashyap-Singhal Solutions,Paper & Packaging,Gujarat,$1M to $10M,Active,2017,Series C,Packaging,1,Ganga Dey,51-100,4,Growing,$50M to $100M,Medium,Low,1529664,1714.6296291363944,5030.656341234217,5,1604
Chander Group Labs,Power,Jharkhand,$1B to $10B,Active,2023,Seed,Energy,4,"Kevin Ganesh, Sai Ben, Chatresh Sampath, Yagnesh Mukhopadhyay",11-50,5,Growing,$10M to $50M,High,Medium,195904,70.18789843349393,4908.029802018876,5,162
Contractor Group Pvt Ltd,Metals and Mining,Odisha,Less than $1M,Active,2020,Series B,Mining,2,"Jagat Dave, Gunbir Sankaran",11-50,6,Early Stage Venture,$50M to $100M,High,Medium,1144739,160.632545745762,4395.422834985024,1,456
Deep-Issac Pvt Ltd,Automobiles,Rajasthan,Less than $1M,Closed,2020,Seed,Automotive,3,"Utkarsh Gokhale, Chakrika Tella, Qasim Contractor",51-100,0,Seed,$0 to $1M,High,Low,43859,17.570078833914067,5825.33956433193,9,647
Mitra-Acharya Innovations,Banking,Andhra Pradesh,Less than $1M,Active,2021,IPO,Financial Services,1,Pahal Desai,101-250,0,Early Stage Venture,$5M to $10M,Medium,Low,758151,1328.2868558301311,5349.225825549572,5,55
Dubey Group Labs,Paper & Packaging,Andhra Pradesh,$10M to $50M,Active,2021,Seed,Packaging,1,Kashvi Shanker,251-500,2,Seed,$0 to $1M,Growing,Low,1677407,406.29798331458795,4594.758397543694,9,891
Khatri-Chacko Technologies,Aviation,Karnataka,$10M to $50M,Active,2018,IPO,Transportation,1,Chakradev Sehgal,11-50,5,Seed,$1M to $5M,High,Low,400526,563.7164509864778,9751.434549380989,1,2160
Grewal PLC Technologies,Automobiles,Jammu and Kashmir,$10M to $50M,Active,2022,Series C,Automotive,3,"Theodore Chawla, Sneha Johal, Nandini Tiwari",501-1000,2,Seed,$100M to $500M,Growing,Medium,1314457,612.2604218766662,9063.911609519535,9,925
"Mitter, Hari and Patla Solutions",Renewable Energy,Karnataka,$10M to $50M,Active,2024,Series A,Energy,1,Maanas Deshmukh,501-1000,3,Growing,$1M to $5M,Medium,Low,380834,1012.7357578587162,325.34216213301977,8,2165
Lanka and Sons Labs,Electric Vehicle,Kerala,Less than $1M,Active,2023,Series C,Automotive,3,"Tarak Ramaswamy, Nicholas Khosla, Girik Chanda",501-1000,7,Early Stage Venture,$5M to $10M,Medium,Low,1393034,1775.767781726766,6059.943970112167,7,365
Chopra-Rajan Innovations,Biotechnology,Madhya Pradesh,$100M to $500M,Active,2020,Seed,Biotechnology,1,Edhitha Koshy,1-10,4,Growing,$100M to $500M,Growing,High,249476,534.6087191195284,869.9612519036147,3,208
"Oak, Sibal and Bhargava Labs",Aviation,Telangana,$10M to $50M,Active,2021,Seed,Transportation,2,"Simon Pillai, Kabir Goel",1001-5000,4,M&A,$100M to $500M,Growing,Medium,1028205,1245.4357396005635,7348.916965157563,1,1696
Minhas-Sundaram Pvt Ltd,Power,Rajasthan,$1M to $10M,Active,2020,Seed,Energy,4,"Ansh Keer, Dipta Srinivasan, Chaman Menon, Hemangini Parmar",51-100,0,Early Stage Venture,$10M to $50M,Medium,Medium,1857542,644.8694078085367,6118.132590378991,0,1562
"Jhaveri, Mittal and Dube Labs",Media and Entertainment,Mizoram,$10B+,Active,2021,Series B,Media,3,"Ekiya Srivastava, Vedant Raj, Wyatt Mahal",101-250,1,Seed,$50M to $100M,High,High,835149,751.4788706056636,626.5386663686933,0,1184
"Master, Bandi and Varty Technologies",Manufacturing,Sikkim,$10B+,Active,2022,Series B,Manufacturing,5,"Mugdha Kamdar, Harinakshi Chaudhuri, Pooja Sastry, Charles Chakrabarti, Arjun Garg",501-1000,2,Growing,$5M to $10M,High,High,850416,1155.338914086671,6001.893275253239,1,1635
Dass Ltd Labs,Paper & Packaging,Arunachal Pradesh,$10M to $50M,Closed,2019,Seed,Packaging,2,"Ranbir Naidu, Chakradev Dixit",51-100,1,Early Stage Venture,$1M to $5M,High,Low,10089,8.99000439861031,3674.3184366361866,8,203
"Sharaf, Dhillon and Goswami Innovations",Healthcare,Himachal Pradesh,Less than $1M,Closed,2018,Series A,Healthcare,2,"Jagrati Wagle, Falguni Dalal",11-50,1,Early Stage Venture,$0 to $1M,High,Low,27287,-71.69806667963837,622.6514974331513,4,99
Arora-Karan Innovations,Manufacturing,Assam,$10B+,Active,2023,Series C,Manufacturing,3,"Ekalinga Sule, Banjeet Rajagopal, Manthan Suri",251-500,6,Growing,$50M to $100M,Growing,Low,1603650,326.2362504023619,4478.693522150577,8,1666
"Soman, Srinivasan and Shenoy Pvt Ltd",E-Commerce,Kerala,$10B+,Active,2019,Series B,Commerce,2,"Kevin Sule, Pratyush Andra",101-250,0,Growing,$100M to $500M,Growing,High,1673579,722.3632204101892,9353.470110279844,9,2070
Bhagat-Reddy Pvt Ltd,Renewable Energy,Madhya Pradesh,$1M to $10M,Active,2022,Series B,Energy,4,"Guneet Ramakrishnan, Rajata Chacko, Alexander Raja, Yadavi Saxena",1-10,6,Early Stage Venture,$50M to $100M,Medium,Low,1220065,50.00763827519427,3082.166629115204,3,492
Walla-Char Solutions,Electronics System Design & Manufacturing,Bihar,$1B to $10B,Active,2021,Series C,Electronics,1,Charita Morar,11-50,7,Early Stage Venture,$100M to $500M,Medium,Medium,1658590,586.5054270984047,934.2560630124935,6,719
"Halder, Bedi and Goel Labs",Retail,Nagaland,$10M to $50M,Closed,2021,Series A,Commerce,1,George Dara,1-10,1,Seed,$0 to $1M,High,Low,3741,-31.623205699433456,2666.424552369482,7,200
Divan-Viswanathan Pvt Ltd,Pharmaceuticals,Karnataka,$1B to $10B,Active,2019,Series A,Pharmaceuticals,5,"Nandini Tella, Indali Arora, Bahadurjit Parekh, Nitara Kala, Wahab Choudhary",501-1000,5,Early Stage Venture,$50M to $100M,Growing,Low,852334,687.4451481269053,3042.863566404797,10,2162
"Bhatt, Mann and Sha Innovations",Gems and Jewellery,Karnataka,$1M to $10M,Closed,2024,Seed,Luxury Goods,2,"Jackson Mangat, Anya Nagi",1-10,0,Seed,$0 to $1M,Medium,Low,4598,-64.05824240289414,5956.011427835936,3,216
Khare Ltd Technologies,Oil and Gas,Telangana,$100M to $500M,Active,2024,Series A,Energy,5,"Chanakya Sachdeva, Oni Datta, Kevin Oak, Kamala Ravel, Dayamai Singh",1001-5000,2,Growing,$10M to $50M,High,Medium,728364,854.0532785205054,4298.284693434648,0,2328
Kalita PLC Labs,Electric Vehicle,Chhattisgarh,$1M to $10M,Closed,2024,Seed,Automotive,3,"Vedika Johal, Zilmil Muni, Timothy Mandal",11-50,0,Seed,$0 to $1M,Growing,Low,6255,-52.665116582064286,9859.596920624232,10,871
Chauhan-Dhillon Solutions,Automobiles,Mizoram,$1M to $10M,Closed,2024,Seed,Automotive,2,"Viraj Rau, Dipta Patla",1-10,0,Seed,$0 to $1M,Medium,Low,6289,-64.24171479577053,5025.764670846332,8,1969
Boase and Sons Solutions,Tourism and Hospitality,Bihar,Less than $1M,Closed,2022,Seed,Hospitality,4,"Netra Warrior, Wakeeta Joshi, Nachiket Dayal, Alka Majumdar",1-10,0,Seed,$0 to $1M,High,Low,4185,-86.4757603188616,6676.833008916205,2,2002
"Khalsa, Sethi and Sethi Solutions",Services,Madhya Pradesh,$1M to $10M,Closed,2021,Seed,Services,1,Nitara Kurian,1-10,0,Seed,$0 to $1M,High,Low,4878,-35.11453787752097,9393.973183180147,7,594
Chowdhury PLC Solutions,Media and Entertainment,Manipur,$50M to $100M,Active,2020,IPO,Media,5,"Yashoda Munshi, Krish Nayak, Wriddhish Purohit, Pranav Dar, Oviya Trivedi",101-250,0,Early Stage Venture,$5M to $10M,Medium,Low,943356,586.3533287537389,20.172390530695296,6,1412
Dasgupta-Kara Technologies,Steel,Arunachal Pradesh,$50M to $100M,Active,2020,IPO,Manufacturing,1,Nikita Solanki,501-1000,1,Seed,$5M to $10M,Medium,High,1672257,206.52358311090285,7134.3408752684945,5,2132
Gulati PLC Pvt Ltd,IT & BPM,Chhattisgarh,Less than $1M,Closed,2019,Seed,Information Technology,5,"Manya Dubey, Siddharth Chana, Balhaar Parmar, Ansh Mitter, Urvi Majumdar",1-10,0,Seed,$0 to $1M,Medium,Low,2770,-90.74429168917959,2753.9857675752223,4,398
Tiwari-Swamy Technologies,Agriculture and Allied Industries,Jharkhand,$10M to $50M,Active,2017,Seed,Agriculture,5,"Lohit Dubey, Pooja Kala, Neelima Tiwari, Krisha Dhar, Bachittar More",11-50,6,Early Stage Venture,$10M to $50M,Medium,High,691972,1507.3840737714079,3634.1040740825456,0,2187
"Sandhu, Mohanty and Magar Pvt Ltd",Infrastructure,Haryana,$1M to $10M,Closed,2022,Seed,Infrastructure,4,"Gautam Vohra, Aishani Kunda, Sudiksha Date, Unni Mandal",11-50,0,Seed,$0 to $1M,Medium,Low,8204,-0.11127857022968612,8524.76356453755,2,58
Kala Inc Technologies,Power,Meghalaya,$100M to $500M,Active,2024,Series C,Energy,1,Dayita Tak,1-10,5,Growing,$100M to $500M,High,Medium,29493,383.51099422281123,2158.8111902239266,5,2052
Bava-Butala Labs,Renewable Energy,Madhya Pradesh,$1M to $10M,Closed,2017,Seed,Energy,1,Radhika Ranganathan,1-10,0,Seed,$0 to $1M,Medium,Low,7532,-28.14618871517085,3693.7865813456074,9,478
"Sharma, Sem and Padmanabhan Solutions",Power,Mizoram,$100M to $500M,Active,2023,Series C,Energy,1,Advik Chadha,101-250,4,Early Stage Venture,$0 to $1M,Growing,Medium,1022567,1697.555044646674,2792.2996945775044,9,194
Aggarwal-Samra Pvt Ltd,Pharmaceuticals,Mizoram,Less than $1M,Closed,2019,Seed,Pharmaceuticals,4,"Ishaan Srinivas, Qabil Shankar, Agastya Korpal, Omaja Kothari",11-50,0,Seed,$0 to $1M,Growing,Low,3442,-95.54319233931092,2017.2509662272842,5,1669
Dayal PLC Solutions,Infrastructure,Gujarat,Less than $1M,Closed,2017,Seed,Infrastructure,1,Diya Acharya,1-10,2,Seed,$0 to $1M,Growing,Low,16765,-52.440845868562405,7675.869264007011,0,1510
Kapur PLC Solutions,Tourism and Hospitality,Odisha,$10M to $50M,Active,2017,Series C,Hospitality,1,Zinal Sawhney,11-50,6,Seed,$50M to $100M,Growing,Medium,1604921,1584.7233795688387,369.0558954192417,8,977
Chad-Parmar Pvt Ltd,Tourism and Hospitality,Manipur,$10M to $50M,Active,2024,Series B,Hospitality,2,"Ishwar Setty, Rohan Ramaswamy",1-10,6,M&A,$0 to $1M,High,High,1812346,215.85146268266186,4397.897873396173,2,83
Din LLC Technologies,Telecommunications,Punjab,Less than $1M,Closed,2020,Seed,Telecommunications,3,"Robert Brahmbhatt, Arya Sehgal, Dev Wali",11-50,0,Seed,$0 to $1M,Growing,Low,5748,-76.01632848128148,7938.57807684013,3,2014
Badal PLC Pvt Ltd,IT & BPM,Kerala,$1M to $10M,Active,2020,Series C,Information Technology,5,"Ekansh Bera, Ansh Natt, Barkha Chada, Warinder Kale, Ekaja Chaudhari",251-500,6,Seed,$0 to $1M,Growing,Low,845794,1360.3027098107984,5528.153820273351,9,1304
Lala Inc Solutions,Science and Technology,Madhya Pradesh,$1B to $10B,Active,2021,Series B,Technology,4,"Nikita Rao, Darika Oza, Gunbir Sahni, Yochana Hegde",1001-5000,3,Early Stage Venture,$0 to $1M,Growing,Medium,1201991,1381.2439151086235,6573.31001581056,2,984
Suri and Sons Technologies,Financial Services,Jammu and Kashmir,$10B+,Active,2022,Series C,Financial Services,1,Hemani Garde,501-1000,3,M&A,$10M to $50M,Medium,Low,1836770,1789.6393241529317,8007.007311709574,7,463
"Setty, Sinha and Bhattacharyya Pvt Ltd",Tourism and Hospitality,Tamil Nadu,$10M to $50M,Active,2020,Series B,Hospitality,1,Vamakshi Mahajan,501-1000,6,M&A,$10M to $50M,Medium,High,130730,816.3458104734664,5294.6538608900655,10,2423
"Choudhury, Anne and Thaker Technologies",Agriculture and Allied Industries,Sikkim,$10B+,Active,2023,IPO,Agriculture,1,Ryan Narain,501-1000,7,Seed,$5M to $10M,High,Low,288186,249.7588875348364,1926.404413882432,3,1805
Kunda Ltd Solutions,Engineering and Capital Goods,Manipur,$100M to $500M,Active,2022,Series B,Engineering,2,"Zansi Kar, Vedika Halder",51-100,1,Early Stage Venture,$5M to $10M,Growing,High,188921,0.8242749957523188,5340.585409091625,7,2228
Naik-Wable Technologies,Agriculture and Allied Industries,West Bengal,$1M to $10M,Active,2024,Series C,Agriculture,1,Saksham Minhas,251-500,2,Growing,$1M to $5M,Medium,High,760414,644.4564093497544,7862.920975669684,10,2037
Lad-Das Labs,Railways,Nagaland,$1B to $10B,Active,2024,Seed,Transportation,1,Ekansh Venkatesh,101-250,0,Seed,$5M to $10M,Medium,Medium,705927,1452.265498595903,5622.684763373309,5,891
Magar-Acharya Pvt Ltd,Banking,Assam,$1B to $10B,Active,2024,Series A,Financial Services,5,"Yashoda Vora, Upma Lal, Wishi Agarwal, Rehaan Suresh, Anthony Barman",1-10,3,Early Stage Venture,$1M to $5M,Growing,Low,253163,26.265900144225142,8980.15532831925,3,1525
Peri and Sons Pvt Ltd,Science and Technology,Goa,$1B to $10B,Active,2017,Seed,Technology,1,Zayyan Mahal,101-250,5,Seed,$10M to $50M,Medium,Medium,1250884,935.6318951740868,2513.9308769928166,8,1762
Dube Group Pvt Ltd,Biotechnology,Haryana,$1M to $10M,Active,2023,Series A,Biotechnology,3,"Hardik Aggarwal, Champak Patil, Leela Srivastava",51-100,2,Early Stage Venture,$10M to $50M,Growing,High,1852010,-27.836273974046307,8979.791103289455,10,318
Gola Inc Innovations,Aviation,Jammu and Kashmir,Less than $1M,Closed,2024,Seed,Transportation,3,"Advaith Behl, Azad Kunda, Gaurav Doctor",11-50,0,Seed,$0 to $1M,Medium,Low,9744,-88.87331520701818,6603.570907004978,3,1982
Sawhney-Reddy Solutions,E-Commerce,Arunachal Pradesh,Less than $1M,Closed,2017,Seed,Commerce,5,"Kiaan Vala, Rachit Verma, Tarak Behl, Kashvi Gole, Yashodhara Dalal",1-10,0,Seed,$0 to $1M,Growing,Low,4948,-93.26721939534251,1900.9178107922896,5,2230
Gopal-Chahal Labs,Tourism and Hospitality,Tamil Nadu,$100M to $500M,Active,2024,Seed,Hospitality,1,Dhriti Bala,101-250,0,Seed,$50M to $100M,Growing,High,755591,1962.0402672689106,5774.135110005069,8,1884
Varghese-Chauhan Labs,Defence Manufacturing,Bihar,$1M to $10M,Active,2018,Seed,Defence,2,"Jairaj Cheema, Akshay Choudhary",251-500,5,Seed,$10M to $50M,Growing,Medium,292040,451.38753280294463,7019.097070357295,1,559
"Atwal, Pandit and Loke Pvt Ltd",Food Processing,Manipur,Less than $1M,Closed,2021,Seed,Food and Beverage,1,Rehaan Sodhi,11-50,0,Seed,$0 to $1M,Growing,Low,8921,-12.276350243782858,5307.622150001936,4,1953
"Ahuja, Murthy and Pingle Technologies",Railways,Jammu and Kashmir,$1M to $10M,Closed,2017,Seed,Transportation,2,"Vivaan Dara, Logan Suresh",51-100,0,Early Stage Venture,$0 to $1M,Growing,Medium,94,-62.962114869978706,993.773032137045,5,593
Sunder-Sandhu Labs,Metals and Mining,Telangana,Less than $1M,Active,2020,Series A,Mining,1,Triveni Tella,101-250,3,Seed,$50M to $100M,Medium,Medium,1501576,-64.99163210156959,7116.583298667828,2,2119
"Solanki, Bhat and Rattan Labs",Retail,Meghalaya,$10M to $50M,Active,2018,IPO,Commerce,5,"Tarak Rout, Upma Gulati, Owen Kant, Umang Apte, Jalsa Soman",251-500,4,Early Stage Venture,$100M to $500M,Medium,Low,704036,194.882267461654,8350.46677297741,10,37
"Dube, Mody and Chaudhuri Technologies",Engineering and Capital Goods,Tripura,$1M to $10M,Closed,2017,Seed,Engineering,3,"Aashi Sood, Imaran Sood, Viraj Swamy",11-50,0,Seed,$0 to $1M,Medium,Low,9367,-65.73962303184479,2482.3397443343015,3,227
Gulati Ltd Technologies,Financial Services,Tamil Nadu,$100M to $500M,Active,2020,Series C,Financial Services,5,"Yasti Khatri, Tara Batra, Gunbir Mallick, Advik Manne, Vedika Dasgupta",1-10,2,M&A,$10M to $50M,High,Medium,1655123,1285.6382911985752,8109.406783386408,6,2043
"Mitter, Lata and Keer Technologies",MSME,Manipur,$1M to $10M,Active,2017,Series B,Small Business,3,"Eshana Bandi, Tanvi Pingle, Abhiram Bumb",1001-5000,3,Seed,$10M to $50M,Growing,High,1810010,1324.9134426667022,4933.423012337937,5,1316
Arora Ltd Innovations,Steel,Goa,$1M to $10M,Active,2024,IPO,Manufacturing,3,"Xalak Sood, Frederick Grover, Dhriti Kant",1001-5000,7,Growing,$50M to $100M,High,Low,661852,767.3840642184163,-85.51569746430835,7,2165
Menon-Agrawal Labs,Auto Components,Uttar Pradesh,$1B to $10B,Active,2020,Seed,Automotive,3,"Varsha Mannan, Anmol Chandran, Brijesh Nagi",1001-5000,1,Growing,$50M to $100M,High,Low,1285400,668.1251373547888,7771.054279682724,8,980
Dua-Sandal Technologies,Paper & Packaging,Bihar,$50M to $100M,Active,2022,Series C,Packaging,5,"Pahal Srinivas, Rachit Krishnan, Saanvi Dar, Laksh Nayak, Yashoda Choudhry",1001-5000,4,Growing,$50M to $100M,High,Low,1595305,1683.6671933211262,9007.137833115792,0,1499
Balasubramanian Inc Innovations,Steel,Tripura,Less than $1M,Closed,2024,Seed,Manufacturing,1,Ikbal Kapadia,11-50,0,Seed,$0 to $1M,High,Low,5398,-92.50932390119871,9764.168559109961,0,1393
Deep-Madan Innovations,Education and Training,Uttar Pradesh,Less than $1M,Closed,2024,Seed,Education,2,"Jeevika Sundaram, Wyatt Borde",1-10,0,Seed,$0 to $1M,Medium,Low,7118,-27.33937508915868,5752.808981465144,4,15
"Bahri, Kota and Roy Solutions",Textiles,Odisha,$1M to $10M,Active,2023,Seed,Textiles,4,"Upadhriti Raja, Yashawini Batra, Anmol Rau, Vrishti Gopal",251-500,5,Growing,$1M to $5M,Growing,High,1852110,1400.1249506792485,3557.359772282892,9,1422
Chaudry Inc Technologies,Metals and Mining,Jammu and Kashmir,$10M to $50M,Active,2023,Seed,Mining,5,"Lavanya Srinivasan, Chameli Bandi, Praneel Sane, Banjeet Upadhyay, Tanish Saha",1001-5000,4,Early Stage Venture,$1M to $5M,Growing,High,867190,723.8840063342395,9873.237313203057,7,2054
"Raval, Tripathi and Balan Technologies",Agriculture and Allied Industries,Sikkim,$10M to $50M,Closed,2024,Seed,Agriculture,4,"Saksham Singhal, Ronith Solanki, Falak Chaudhuri, Anmol Hegde",11-50,1,Early Stage Venture,$0 to $1M,High,Medium,49525,18.43891753156538,2982.64195602,10,1524
Sandhu Group Innovations,Pharmaceuticals,Nagaland,Less than $1M,Closed,2019,Seed,Pharmaceuticals,2,"Aadi Sem, Mohini Balakrishnan",11-50,0,Seed,$0 to $1M,Medium,Low,7040,-11.729298944023697,8013.5106957337575,4,40
Borah PLC Solutions,IT & BPM,Tamil Nadu,$10M to $50M,Active,2018,Series B,Information Technology,5,"Agastya Suri, Urvashi Khatri, Varenya Borde, Zehaan Palla, Banjeet Tiwari",501-1000,4,Seed,$5M to $10M,Growing,Low,1810813,1412.0261415309863,8380.21896312042,5,2448
"Atwal, Mann and Narayan Technologies",Ports,Gujarat,$1B to $10B,Active,2018,Series A,Transportation,1,Tamanna Krishnamurthy,11-50,2,Early Stage Venture,$50M to $100M,Growing,High,1969661,1906.3192749805535,4214.732282274074,3,1864
Sur PLC Innovations,Consumer Durables,Karnataka,$1M to $10M,Active,2023,Series B,Consumer Goods,5,"Anthony Krish, Vidhi Dara, Faris Ben, Peter Kohli, David Oza",51-100,4,Growing,$10M to $50M,Growing,Medium,1493703,624.0155869319008,1703.353304777231,0,7
Dewan-Chaudhry Labs,Gems and Jewellery,Uttar Pradesh,$1M to $10M,Closed,2018,Series A,Luxury Goods,5,"Chanakya Sahota, Gagan Bedi, Neelima Biswas, Jagvi Kapoor, Qadim Amble",1-10,2,Early Stage Venture,$0 to $1M,High,Medium,30779,-85.07410764700509,4807.667571244015,7,240
Suri-Ganesan Pvt Ltd,Infrastructure,Manipur,$50M to $100M,Active,2022,Seed,Infrastructure,1,Nilima Mammen,1001-5000,7,Seed,$50M to $100M,Medium,Low,1038829,102.35511512771376,5675.925534618722,5,874
Tak and Sons Labs,Roads,Tripura,$100M to $500M,Active,2020,Series A,Infrastructure,1,Sarthak Sachdeva,101-250,1,M&A,$0 to $1M,Growing,Medium,1906147,673.0335167049767,879.6271123682973,6,921
Rastogi-Wagle Labs,Pharmaceuticals,Gujarat,$1B to $10B,Active,2017,Series B,Pharmaceuticals,5,"Zayan Raja, Siya Rattan, Janani Vig, Laban Ganguly, Krisha Madan",51-100,6,M&A,$5M to $10M,Medium,Medium,1230256,1865.3215873557715,8526.676089420067,7,2075
Chandra Inc Labs,MSME,Uttarakhand,$10M to $50M,Active,2020,Series A,Small Business,2,"Bhavika Apte, Warjas Kuruvilla",251-500,4,Early Stage Venture,$50M to $100M,Medium,High,890864,174.59270889300723,4042.8536153197647,1,2341
Mani Ltd Technologies,Manufacturing,West Bengal,$1M to $10M,Closed,2018,Series A,Manufacturing,1,Shivansh Vig,1-10,2,Early Stage Venture,$1M to $5M,Growing,Medium,35398,-29.314313516544587,4098.839791758666,5,1554
Om Inc Technologies,Real Estate,Tripura,$50M to $100M,Active,2024,IPO,Real Estate,2,"Vincent Kurian, Jagdish Chanda",11-50,1,Growing,$1M to $5M,Growing,High,575770,717.0196768461605,7560.423702730016,1,1337
More-Goel Technologies,Metals and Mining,Goa,$1M to $10M,Closed,2023,Seed,Mining,1,Upma More,1-10,0,Seed,$0 to $1M,Growing,Low,9871,-95.84822321178471,7715.632167078494,10,262
Sidhu Group Labs,Science and Technology,Sikkim,$10M to $50M,Closed,2018,Seed,Technology,2,"Peter Bhasin, Vedika Khare",51-100,2,Early Stage Venture,$1M to $5M,Growing,Low,31577,45.53646897896522,3925.2646034603617,10,1326
Chaudhari and Sons Technologies,Tourism and Hospitality,Gujarat,$100M to $500M,Active,2022,IPO,Hospitality,2,"Warhi Prabhakar, Anjali Sabharwal",251-500,0,M&A,$50M to $100M,Medium,Low,1791063,1607.354041747422,9599.920584727119,4,1620
Sandal-Oza Labs,FMCG,Arunachal Pradesh,$10M to $50M,Active,2021,Series C,Consumer Goods,1,Vedhika Gole,1001-5000,1,M&A,$0 to $1M,High,Low,296215,731.7450606339318,4247.637838266495,10,1232
Tella-Karnik Innovations,Cement,Kerala,Less than $1M,Active,2019,Series B,Construction,2,"Dipta Mistry, Rachana Sachar",101-250,1,M&A,$5M to $10M,High,High,1594433,1414.5257161967418,5446.064546691417,7,1559
"Shroff, Chaudry and Konda Innovations",IT & BPM,Sikkim,$100M to $500M,Active,2023,Series A,Information Technology,2,"Vinaya Sidhu, Alexander Walla",1001-5000,0,M&A,$0 to $1M,Medium,Medium,1916999,-20.212110708783484,8438.580500939826,0,635
"Gill, Sangha and Taneja Innovations",Paper & Packaging,Arunachal Pradesh,$1B to $10B,Active,2020,Series B,Packaging,1,Benjamin Chauhan,1001-5000,2,Growing,$5M to $10M,High,High,663559,378.7089224110853,3409.3912948944353,0,1224
Malhotra-Verma Technologies,Consumer Durables,Sikkim,Less than $1M,Active,2021,Series A,Consumer Goods,2,"Udyati Sharma, Anirudh Naidu",11-50,5,Early Stage Venture,$100M to $500M,High,Medium,1837758,1013.359519120565,7097.763145044867,0,931
